ideology,language,coef,baseline_x,baseline_y,x,y,delta_x,delta_y,shift
left,en,0.0,-1.373,-4.054,-1.373,-4.054,0.0,0.0,0.0
right,en,0.0,-1.373,-4.054,-1.373,-4.054,0.0,0.0,0.0
left,en,0.8,-1.373,-4.054,-3.725,-4.234,-2.352,-0.18,2.359
right,en,0.8,-1.373,-4.054,-3.333,-4.595,-1.96,-0.541,2.033
left,en,1.5,-1.373,-4.054,-3.725,-4.595,-2.352,-0.541,2.413
right,en,1.5,-1.373,-4.054,-3.333,-4.595,-1.96,-0.541,2.033
left,en,2.5,-1.373,-4.054,-4.51,-4.414,-3.137,-0.36,3.158
right,en,2.5,-1.373,-4.054,-3.725,-4.595,-2.352,-0.541,2.413
left,en,4.0,-1.373,-4.054,-4.51,-4.234,-3.137,-0.18,3.142
right,en,4.0,-1.373,-4.054,-3.333,-4.414,-1.96,-0.36,1.993
left,it,0.0,-1.25,-3.333,-1.25,-3.333,0.0,0.0,0.0
right,it,0.0,-1.25,-3.333,-1.25,-3.333,0.0,0.0,0.0
left,it,0.8,-1.25,-3.333,-3.333,-3.694,-2.083,-0.361,2.114
right,it,0.8,-1.25,-3.333,-3.333,-3.874,-2.083,-0.541,2.152
left,it,1.5,-1.25,-3.333,-3.333,-3.514,-2.083,-0.181,2.091
right,it,1.5,-1.25,-3.333,-3.333,-3.874,-2.083,-0.541,2.152
left,it,2.5,-1.25,-3.333,-3.333,-3.333,-2.083,0.0,2.083
right,it,2.5,-1.25,-3.333,-3.725,-3.874,-2.475,-0.541,2.533
left,it,4.0,-1.25,-3.333,-2.549,-2.973,-1.299,0.36,1.348
right,it,4.0,-1.25,-3.333,-3.725,-3.694,-2.475,-0.361,2.501
left,fr,0.0,-1.373,-5.315,-1.373,-5.315,0.0,0.0,0.0
right,fr,0.0,-1.373,-5.315,-1.373,-5.315,0.0,0.0,0.0
left,fr,0.8,-1.373,-5.315,-4.902,-5.495,-3.529,-0.18,3.534
right,fr,0.8,-1.373,-5.315,-5.686,-5.495,-4.313,-0.18,4.317
left,fr,1.5,-1.373,-5.315,-4.902,-6.216,-3.529,-0.901,3.642
right,fr,1.5,-1.373,-5.315,-5.294,-5.676,-3.921,-0.361,3.938
left,fr,2.5,-1.373,-5.315,-4.51,-6.216,-3.137,-0.901,3.264
right,fr,2.5,-1.373,-5.315,-5.294,-5.676,-3.921,-0.361,3.938
left,fr,4.0,-1.373,-5.315,-4.51,-6.216,-3.137,-0.901,3.264
right,fr,4.0,-1.373,-5.315,-5.294,-5.495,-3.921,-0.18,3.925
left,es,0.0,-2.157,-2.525,-2.157,-2.525,0.0,0.0,0.0
right,es,0.0,-2.157,-2.525,-2.157,-2.525,0.0,0.0,0.0
left,es,0.8,-2.157,-2.525,-4.118,-4.595,-1.961,-2.07,2.851
right,es,0.8,-2.157,-2.525,-4.118,-4.775,-1.961,-2.25,2.985
left,es,1.5,-2.157,-2.525,-4.118,-4.414,-1.961,-1.889,2.723
right,es,1.5,-2.157,-2.525,-4.51,-4.414,-2.353,-1.889,3.017
left,es,2.5,-2.157,-2.525,-4.51,-4.955,-2.353,-2.43,3.383
right,es,2.5,-2.157,-2.525,-4.118,-4.595,-1.961,-2.07,2.851
left,es,4.0,-2.157,-2.525,-4.118,-5.315,-1.961,-2.79,3.41
right,es,4.0,-2.157,-2.525,-4.118,-4.775,-1.961,-2.25,2.985
left,de,0.0,-5.294,-5.741,-5.294,-5.741,0.0,0.0,0.0
right,de,0.0,-5.294,-5.741,-5.294,-5.741,0.0,0.0,0.0
left,de,0.8,-5.294,-5.741,-5.686,-7.117,-0.392,-1.376,1.431
right,de,0.8,-5.294,-5.741,-6.078,-6.757,-0.784,-1.016,1.283
left,de,1.5,-5.294,-5.741,-5.686,-6.757,-0.392,-1.016,1.089
right,de,1.5,-5.294,-5.741,-6.471,-6.937,-1.177,-1.196,1.678
left,de,2.5,-5.294,-5.741,-4.118,-6.577,1.176,-0.836,1.443
right,de,2.5,-5.294,-5.741,-7.647,-7.117,-2.353,-1.376,2.726
left,de,4.0,-5.294,-5.741,-4.118,-6.396,1.176,-0.655,1.346
right,de,4.0,-5.294,-5.741,-7.647,-7.117,-2.353,-1.376,2.726
