language,coef,left_x,left_y,right_x,right_y,distance,left_parsed,right_parsed
en,0.0,-1.373,-4.054,-1.373,-4.054,0.0,62,62
en,0.8,-3.725,-4.234,-3.333,-4.595,0.533,62,62
en,1.5,-3.725,-4.595,-3.333,-4.595,0.392,62,62
en,2.5,-4.51,-4.414,-3.725,-4.595,0.806,62,62
en,4.0,-4.51,-4.234,-3.333,-4.414,1.191,62,62
it,0.0,-1.25,-3.333,-1.25,-3.333,0.0,60,60
it,0.8,-3.333,-3.694,-3.333,-3.874,0.18,62,62
it,1.5,-3.333,-3.514,-3.333,-3.874,0.36,62,62
it,2.5,-3.333,-3.333,-3.725,-3.874,0.668,62,62
it,4.0,-2.549,-2.973,-3.725,-3.694,1.379,62,62
fr,0.0,-1.373,-5.315,-1.373,-5.315,0.0,62,62
fr,0.8,-4.902,-5.495,-5.686,-5.495,0.784,62,62
fr,1.5,-4.902,-6.216,-5.294,-5.676,0.667,62,62
fr,2.5,-4.51,-6.216,-5.294,-5.676,0.952,62,62
fr,4.0,-4.51,-6.216,-5.294,-5.495,1.065,62,62
es,0.0,-2.157,-2.525,-2.157,-2.525,0.0,58,58
es,0.8,-4.118,-4.595,-4.118,-4.775,0.18,62,62
es,1.5,-4.118,-4.414,-4.51,-4.414,0.392,62,62
es,2.5,-4.51,-4.955,-4.118,-4.595,0.532,62,62
es,4.0,-4.118,-5.315,-4.118,-4.775,0.54,62,62
de,0.0,-5.294,-5.741,-5.294,-5.741,0.0,61,61
de,0.8,-5.686,-7.117,-6.078,-6.757,0.532,62,62
de,1.5,-5.686,-6.757,-6.471,-6.937,0.805,62,62
de,2.5,-4.118,-6.577,-7.647,-7.117,3.57,62,62
de,4.0,-4.118,-6.396,-7.647,-7.117,3.602,62,62
