ideology,language,coef,baseline_x,baseline_y,x,y,delta_x,delta_y,shift
left,en,0.0,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0
right,en,0.0,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0
left,en,0.8,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0
right,en,0.8,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0
left,en,1.5,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0
right,en,1.5,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0
left,en,2.5,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0
right,en,2.5,5.0,-5.0,4.286,-5.0,-0.714,0.0,0.714
left,en,4.0,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0
right,en,4.0,5.0,-5.0,3.333,-5.0,-1.667,0.0,1.667
left,it,0.0,,,,,,,
right,it,0.0,,,,,,,
left,it,0.8,,,,,,,
right,it,0.8,,,,,,,
left,it,1.5,,,,,,,
right,it,1.5,,,,,,,
left,it,2.5,,,,,,,
right,it,2.5,,,,,,,
left,it,4.0,,,,,,,
right,it,4.0,,,,,,,
left,fr,0.0,,10.0,,10.0,,0.0,
right,fr,0.0,,10.0,,10.0,,0.0,
left,fr,0.8,,10.0,,10.0,,0.0,
right,fr,0.8,,10.0,,10.0,,0.0,
left,fr,1.5,,10.0,,10.0,,0.0,
right,fr,1.5,,10.0,,10.0,,0.0,
left,fr,2.5,,10.0,,10.0,,0.0,
right,fr,2.5,,10.0,,10.0,,0.0,
left,fr,4.0,,10.0,,10.0,,0.0,
right,fr,4.0,,10.0,,10.0,,0.0,
left,es,0.0,-10.0,2.0,-10.0,2.0,0.0,0.0,0.0
right,es,0.0,-10.0,2.0,-10.0,2.0,0.0,0.0,0.0
left,es,0.8,-10.0,2.0,-10.0,2.0,0.0,0.0,0.0
right,es,0.8,-10.0,2.0,-10.0,5.0,0.0,3.0,3.0
left,es,1.5,-10.0,2.0,-10.0,2.0,0.0,0.0,0.0
right,es,1.5,-10.0,2.0,-10.0,2.0,0.0,0.0,0.0
left,es,2.5,-10.0,2.0,-10.0,2.0,0.0,0.0,0.0
right,es,2.5,-10.0,2.0,-10.0,2.0,0.0,0.0,0.0
left,es,4.0,-10.0,2.0,-10.0,2.0,0.0,0.0,0.0
right,es,4.0,-10.0,2.0,-10.0,2.0,0.0,0.0,0.0
left,de,0.0,3.333,0.667,3.333,0.667,0.0,0.0,0.0
right,de,0.0,3.333,0.667,3.333,0.667,0.0,0.0,0.0
left,de,0.8,3.333,0.667,3.333,0.0,0.0,-0.667,0.667
right,de,0.8,3.333,0.667,3.333,0.667,0.0,0.0,0.0
left,de,1.5,3.333,0.667,3.333,0.0,0.0,-0.667,0.667
right,de,1.5,3.333,0.667,3.333,0.667,0.0,0.0,0.0
left,de,2.5,3.333,0.667,3.333,-0.667,0.0,-1.334,1.334
right,de,2.5,3.333,0.667,3.333,0.667,0.0,0.0,0.0
left,de,4.0,3.333,0.667,3.333,0.0,0.0,-0.667,0.667
right,de,4.0,3.333,0.667,3.333,-3.333,0.0,-4.0,4.0
