language,coef,left_x,left_y,right_x,right_y,distance,left_parsed,right_parsed
en,0.0,5.0,-5.0,5.0,-5.0,0.0,17,17
en,0.8,5.0,-5.0,5.0,-5.0,0.0,17,17
en,1.5,5.0,-5.0,5.0,-5.0,0.0,17,17
en,2.5,5.0,-5.0,4.286,-5.0,0.714,17,16
en,4.0,5.0,-5.0,3.333,-5.0,1.667,17,15
it,0.0,,,,,,0,0
it,0.8,,,,,,0,0
it,1.5,,,,,,0,0
it,2.5,,,,,,0,0
it,4.0,,,,,,0,0
fr,0.0,,10.0,,10.0,,3,3
fr,0.8,,10.0,,10.0,,3,3
fr,1.5,,10.0,,10.0,,3,3
fr,2.5,,10.0,,10.0,,3,3
fr,4.0,,10.0,,10.0,,3,3
es,0.0,-10.0,2.0,-10.0,2.0,0.0,8,8
es,0.8,-10.0,2.0,-10.0,5.0,3.0,8,7
es,1.5,-10.0,2.0,-10.0,2.0,0.0,8,8
es,2.5,-10.0,2.0,-10.0,2.0,0.0,8,8
es,4.0,-10.0,2.0,-10.0,2.0,0.0,8,8
de,0.0,3.333,0.667,3.333,0.667,0.0,6,6
de,0.8,3.333,0.0,3.333,0.667,0.667,7,6
de,1.5,3.333,0.0,3.333,0.667,0.667,7,6
de,2.5,3.333,-0.667,3.333,0.667,1.334,6,6
de,4.0,3.333,0.0,3.333,-3.333,3.333,5,6
