ideology,language,coef,baseline_x,baseline_y,x,y,delta_x,delta_y,shift
left,en,0.0,-5.294,-4.414,-5.294,-4.414,0.0,0.0,0.0
right,en,0.0,-5.294,-4.414,-5.294,-4.414,0.0,0.0,0.0
left,en,0.8,-5.294,-4.414,-6.471,-5.495,-1.177,-1.081,1.598
right,en,0.8,-5.294,-4.414,-5.294,-4.595,0.0,-0.181,0.181
left,en,1.5,-5.294,-4.414,-4.902,-5.315,0.392,-0.901,0.983
right,en,1.5,-5.294,-4.414,-5.294,-4.595,0.0,-0.181,0.181
left,en,2.5,-5.294,-4.414,-3.333,-6.937,1.961,-2.523,3.195
right,en,2.5,-5.294,-4.414,-4.902,-4.414,0.392,0.0,0.392
left,en,4.0,-5.294,-4.414,-2.941,-0.631,2.353,3.783,4.455
right,en,4.0,-5.294,-4.414,-4.118,-4.414,1.176,0.0,1.176
left,it,0.0,-4.118,-3.874,-4.118,-3.874,0.0,0.0,0.0
right,it,0.0,-4.118,-3.874,-4.118,-3.874,0.0,0.0,0.0
left,it,0.8,-4.118,-3.874,-4.902,-3.874,-0.784,0.0,0.784
right,it,0.8,-4.118,-3.874,-4.118,-4.054,0.0,-0.18,0.18
left,it,1.5,-4.118,-3.874,-4.51,-3.874,-0.392,0.0,0.392
right,it,1.5,-4.118,-3.874,-4.118,-3.874,0.0,0.0,0.0
left,it,2.5,-4.118,-3.874,-3.725,-4.054,0.393,-0.18,0.432
right,it,2.5,-4.118,-3.874,-4.51,-3.333,-0.392,0.541,0.668
left,it,4.0,-4.118,-3.874,-1.765,-1.712,2.353,2.162,3.195
right,it,4.0,-4.118,-3.874,-4.51,-3.333,-0.392,0.541,0.668
left,fr,0.0,-2.941,-3.153,-2.941,-3.153,0.0,0.0,0.0
right,fr,0.0,-2.941,-3.153,-2.941,-3.153,0.0,0.0,0.0
left,fr,0.8,-2.941,-3.153,-5.686,-4.595,-2.745,-1.442,3.101
right,fr,0.8,-2.941,-3.153,-1.765,-4.054,1.176,-0.901,1.481
left,fr,1.5,-2.941,-3.153,-6.471,-5.856,-3.53,-2.703,4.446
right,fr,1.5,-2.941,-3.153,-0.588,-3.694,2.353,-0.541,2.414
left,fr,2.5,-2.941,-3.153,-4.51,-5.856,-1.569,-2.703,3.125
right,fr,2.5,-2.941,-3.153,-0.196,-3.694,2.745,-0.541,2.798
left,fr,4.0,-2.941,-3.153,-0.588,2.252,2.353,5.405,5.895
right,fr,4.0,-2.941,-3.153,0.196,-5.315,3.137,-2.162,3.81
left,es,0.0,-2.941,-2.793,-2.941,-2.793,0.0,0.0,0.0
right,es,0.0,-2.941,-2.793,-2.941,-2.793,0.0,0.0,0.0
left,es,0.8,-2.941,-2.793,-2.941,-2.973,0.0,-0.18,0.18
right,es,0.8,-2.941,-2.793,-2.941,-2.973,0.0,-0.18,0.18
left,es,1.5,-2.941,-2.793,-2.549,-2.793,0.392,0.0,0.392
right,es,1.5,-2.941,-2.793,-2.941,-2.973,0.0,-0.18,0.18
left,es,2.5,-2.941,-2.793,-0.98,-1.351,1.961,1.442,2.434
right,es,2.5,-2.941,-2.793,-2.941,-2.793,0.0,0.0,0.0
left,es,4.0,-2.941,-2.793,-0.196,0.631,2.745,3.424,4.388
right,es,4.0,-2.941,-2.793,-2.941,-2.793,0.0,0.0,0.0
left,de,0.0,-2.157,-4.775,-2.157,-4.775,0.0,0.0,0.0
right,de,0.0,-2.157,-4.775,-2.157,-4.775,0.0,0.0,0.0
left,de,0.8,-2.157,-4.775,-4.51,-5.315,-2.353,-0.54,2.414
right,de,0.8,-2.157,-4.775,-1.765,-4.955,0.392,-0.18,0.431
left,de,1.5,-2.157,-4.775,-4.51,-4.234,-2.353,0.541,2.414
right,de,1.5,-2.157,-4.775,-1.765,-4.775,0.392,0.0,0.392
left,de,2.5,-2.157,-4.775,-1.373,-3.874,0.784,0.901,1.194
right,de,2.5,-2.157,-4.775,-1.765,-4.775,0.392,0.0,0.392
left,de,4.0,-2.157,-4.775,-1.373,0.27,0.784,5.045,5.106
right,de,4.0,-2.157,-4.775,-0.588,-4.234,1.569,0.541,1.66
