language,coef,left_x,left_y,right_x,right_y,distance,left_parsed,right_parsed
en,0.0,-5.294,-4.414,-5.294,-4.414,0.0,62,62
en,0.8,-6.471,-5.495,-5.294,-4.595,1.482,62,62
en,1.5,-4.902,-5.315,-5.294,-4.595,0.82,62,62
en,2.5,-3.333,-6.937,-4.902,-4.414,2.971,62,62
en,4.0,-2.941,-0.631,-4.118,-4.414,3.962,62,62
it,0.0,-4.118,-3.874,-4.118,-3.874,0.0,62,62
it,0.8,-4.902,-3.874,-4.118,-4.054,0.804,62,62
it,1.5,-4.51,-3.874,-4.118,-3.874,0.392,62,62
it,2.5,-3.725,-4.054,-4.51,-3.333,1.066,62,62
it,4.0,-1.765,-1.712,-4.51,-3.333,3.188,62,62
fr,0.0,-2.941,-3.153,-2.941,-3.153,0.0,62,62
fr,0.8,-5.686,-4.595,-1.765,-4.054,3.958,62,62
fr,1.5,-6.471,-5.856,-0.588,-3.694,6.268,62,62
fr,2.5,-4.51,-5.856,-0.196,-3.694,4.825,62,62
fr,4.0,-0.588,2.252,0.196,-5.315,7.608,62,62
es,0.0,-2.941,-2.793,-2.941,-2.793,0.0,62,62
es,0.8,-2.941,-2.973,-2.941,-2.973,0.0,62,62
es,1.5,-2.549,-2.793,-2.941,-2.973,0.431,62,62
es,2.5,-0.98,-1.351,-2.941,-2.793,2.434,62,62
es,4.0,-0.196,0.631,-2.941,-2.793,4.388,62,62
de,0.0,-2.157,-4.775,-2.157,-4.775,0.0,62,62
de,0.8,-4.51,-5.315,-1.765,-4.955,2.769,62,62
de,1.5,-4.51,-4.234,-1.765,-4.775,2.798,62,62
de,2.5,-1.373,-3.874,-1.765,-4.775,0.983,62,62
de,4.0,-1.373,0.27,-0.588,-4.234,4.572,62,62
