ideology,language,coef,baseline_x,baseline_y,x,y,delta_x,delta_y,shift
left,en,0.0,-2.444,-3.333,-2.444,-3.333,0.0,0.0,0.0
right,en,0.0,-2.444,-3.333,-2.444,-3.333,0.0,0.0,0.0
left,en,0.8,-2.444,-3.333,-2.444,-3.333,0.0,0.0,0.0
right,en,0.8,-2.444,-3.333,-2.444,-3.556,0.0,-0.223,0.223
left,en,1.5,-2.444,-3.333,-2.444,-3.548,0.0,-0.215,0.215
right,en,1.5,-2.444,-3.333,-2.444,-3.333,0.0,0.0,0.0
left,en,2.5,-2.444,-3.333,-2.444,-3.548,0.0,-0.215,0.215
right,en,2.5,-2.444,-3.333,-2.444,-3.333,0.0,0.0,0.0
left,en,4.0,-2.444,-3.333,-2.381,-3.778,0.063,-0.445,0.449
right,en,4.0,-2.444,-3.333,-2.444,-3.81,0.0,-0.477,0.477
left,it,0.0,-3.333,-3.333,-3.333,-3.333,0.0,0.0,0.0
right,it,0.0,-3.333,-3.333,-3.333,-3.333,0.0,0.0,0.0
left,it,0.8,-3.333,-3.333,-3.333,-3.333,0.0,0.0,0.0
right,it,0.8,-3.333,-3.333,-3.333,-3.725,0.0,-0.392,0.392
left,it,1.5,-3.333,-3.333,-3.333,-3.333,0.0,0.0,0.0
right,it,1.5,-3.333,-3.333,-2.727,-3.725,0.606,-0.392,0.722
left,it,2.5,-3.333,-3.333,-2.821,-3.016,0.512,0.317,0.602
right,it,2.5,-3.333,-3.333,-2.667,-3.704,0.666,-0.371,0.762
left,it,4.0,-3.333,-3.333,-2.821,-3.016,0.512,0.317,0.602
right,it,4.0,-3.333,-3.333,-1.333,-3.704,2.0,-0.371,2.034
left,fr,0.0,-1.373,-4.955,-1.373,-4.955,0.0,0.0,0.0
right,fr,0.0,-1.373,-4.955,-1.373,-4.955,0.0,0.0,0.0
left,fr,0.8,-1.373,-4.955,-1.373,-5.315,0.0,-0.36,0.36
right,fr,0.8,-1.373,-4.955,-1.373,-4.955,0.0,0.0,0.0
left,fr,1.5,-1.373,-4.955,-1.373,-5.315,0.0,-0.36,0.36
right,fr,1.5,-1.373,-4.955,-1.373,-4.955,0.0,0.0,0.0
left,fr,2.5,-1.373,-4.955,-1.373,-5.315,0.0,-0.36,0.36
right,fr,2.5,-1.373,-4.955,-1.373,-4.955,0.0,0.0,0.0
left,fr,4.0,-1.373,-4.955,-1.373,-5.315,0.0,-0.36,0.36
right,fr,4.0,-1.373,-4.955,-1.373,-4.775,0.0,0.18,0.18
left,es,0.0,-0.98,-4.259,-0.98,-4.259,0.0,0.0,0.0
right,es,0.0,-0.98,-4.259,-0.98,-4.259,0.0,0.0,0.0
left,es,0.8,-0.98,-4.259,-0.98,-4.234,0.0,0.025,0.025
right,es,0.8,-0.98,-4.259,-0.98,-4.259,0.0,0.0,0.0
left,es,1.5,-0.98,-4.259,-0.98,-4.63,0.0,-0.371,0.371
right,es,1.5,-0.98,-4.259,-0.833,-4.259,0.147,0.0,0.147
left,es,2.5,-0.98,-4.259,-0.98,-4.444,0.0,-0.185,0.185
right,es,2.5,-0.98,-4.259,-0.833,-4.259,0.147,0.0,0.147
left,es,4.0,-0.98,-4.259,-0.98,-4.259,0.0,0.0,0.0
right,es,4.0,-0.98,-4.259,-1.25,-4.259,-0.27,0.0,0.27
left,de,0.0,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0
right,de,0.0,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0
left,de,0.8,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0
right,de,0.8,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0
left,de,1.5,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0
right,de,1.5,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0
left,de,2.5,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0
right,de,2.5,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0
left,de,4.0,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0
right,de,4.0,-1.765,-2.072,-1.765,-2.072,0.0,0.0,0.0
