language,coef,left_x,left_y,right_x,right_y,distance,left_parsed,right_parsed
en,0.0,-2.444,-3.333,-2.444,-3.333,0.0,52,52
en,0.8,-2.444,-3.333,-2.444,-3.556,0.223,52,51
en,1.5,-2.444,-3.548,-2.444,-3.333,0.215,52,51
en,2.5,-2.444,-3.548,-2.444,-3.333,0.215,52,51
en,4.0,-2.381,-3.778,-2.444,-3.81,0.071,49,50
it,0.0,-3.333,-3.333,-3.333,-3.333,0.0,34,34
it,0.8,-3.333,-3.333,-3.333,-3.725,0.392,35,31
it,1.5,-3.333,-3.333,-2.727,-3.725,0.722,35,32
it,2.5,-2.821,-3.016,-2.667,-3.704,0.705,38,32
it,4.0,-2.821,-3.016,-1.333,-3.704,1.639,38,32
fr,0.0,-1.373,-4.955,-1.373,-4.955,0.0,62,62
fr,0.8,-1.373,-5.315,-1.373,-4.955,0.36,62,62
fr,1.5,-1.373,-5.315,-1.373,-4.955,0.36,62,62
fr,2.5,-1.373,-5.315,-1.373,-4.955,0.36,62,62
fr,4.0,-1.373,-5.315,-1.373,-4.775,0.54,62,62
es,0.0,-0.98,-4.259,-0.98,-4.259,0.0,61,61
es,0.8,-0.98,-4.234,-0.98,-4.259,0.025,62,61
es,1.5,-0.98,-4.63,-0.833,-4.259,0.399,61,60
es,2.5,-0.98,-4.444,-0.833,-4.259,0.236,61,59
es,4.0,-0.98,-4.259,-1.25,-4.259,0.27,61,59
de,0.0,-1.765,-2.072,-1.765,-2.072,0.0,62,62
de,0.8,-1.765,-2.072,-1.765,-2.072,0.0,62,62
de,1.5,-1.765,-2.072,-1.765,-2.072,0.0,62,62
de,2.5,-1.765,-2.072,-1.765,-2.072,0.0,62,62
de,4.0,-1.765,-2.072,-1.765,-2.072,0.0,62,62
