ideology,language,coef,baseline_x,baseline_y,x,y,delta_x,delta_y,shift
left,en,0.0,-3.725,-4.414,-3.725,-4.414,0.0,0.0,0.0
right,en,0.0,-3.725,-4.414,-3.725,-4.414,0.0,0.0,0.0
left,en,0.8,-3.725,-4.414,-3.725,-4.234,0.0,0.18,0.18
right,en,0.8,-3.725,-4.414,-3.333,-4.054,0.392,0.36,0.532
left,en,1.5,-3.725,-4.414,-3.725,-4.414,0.0,0.0,0.0
right,en,1.5,-3.725,-4.414,-3.333,-3.874,0.392,0.54,0.667
left,en,2.5,-3.725,-4.414,-3.725,-4.775,0.0,-0.361,0.361
right,en,2.5,-3.725,-4.414,-2.941,-3.694,0.784,0.72,1.064
left,en,4.0,-3.725,-4.414,-4.902,-5.135,-1.177,-0.721,1.38
right,en,4.0,-3.725,-4.414,-2.549,-3.514,1.176,0.9,1.481
left,it,0.0,-3.333,-3.874,-3.333,-3.874,0.0,0.0,0.0
right,it,0.0,-3.333,-3.874,-3.333,-3.874,0.0,0.0,0.0
left,it,0.8,-3.333,-3.874,-3.333,-3.874,0.0,0.0,0.0
right,it,0.8,-3.333,-3.874,-3.333,-3.874,0.0,0.0,0.0
left,it,1.5,-3.333,-3.874,-2.941,-3.874,0.392,0.0,0.392
right,it,1.5,-3.333,-3.874,-3.333,-3.874,0.0,0.0,0.0
left,it,2.5,-3.333,-3.874,-2.941,-3.694,0.392,0.18,0.431
right,it,2.5,-3.333,-3.874,-3.333,-3.874,0.0,0.0,0.0
left,it,4.0,-3.333,-3.874,-2.941,-3.694,0.392,0.18,0.431
right,it,4.0,-3.333,-3.874,-3.333,-3.514,0.0,0.36,0.36
left,fr,0.0,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0
right,fr,0.0,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0
left,fr,0.8,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0
right,fr,0.8,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0
left,fr,1.5,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0
right,fr,1.5,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0
left,fr,2.5,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0
right,fr,2.5,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0
left,fr,4.0,-4.902,-5.495,-4.902,-5.495,0.0,0.0,0.0
right,fr,4.0,-4.902,-5.495,-4.902,-5.676,0.0,-0.181,0.181
left,es,0.0,-4.118,-4.775,-4.118,-4.775,0.0,0.0,0.0
right,es,0.0,-4.118,-4.775,-4.118,-4.775,0.0,0.0,0.0
left,es,0.8,-4.118,-4.775,-4.118,-4.595,0.0,0.18,0.18
right,es,0.8,-4.118,-4.775,-4.118,-4.775,0.0,0.0,0.0
left,es,1.5,-4.118,-4.775,-4.118,-4.414,0.0,0.361,0.361
right,es,1.5,-4.118,-4.775,-4.118,-4.775,0.0,0.0,0.0
left,es,2.5,-4.118,-4.775,-4.118,-4.414,0.0,0.361,0.361
right,es,2.5,-4.118,-4.775,-4.118,-4.775,0.0,0.0,0.0
left,es,4.0,-4.118,-4.775,-3.725,-4.414,0.393,0.361,0.534
right,es,4.0,-4.118,-4.775,-3.725,-4.775,0.393,0.0,0.393
left,de,0.0,-6.078,-6.757,-6.078,-6.757,0.0,0.0,0.0
right,de,0.0,-6.078,-6.757,-6.078,-6.757,0.0,0.0,0.0
left,de,0.8,-6.078,-6.757,-6.078,-6.757,0.0,0.0,0.0
right,de,0.8,-6.078,-6.757,-7.255,-6.757,-1.177,0.0,1.177
left,de,1.5,-6.078,-6.757,-6.078,-6.757,0.0,0.0,0.0
right,de,1.5,-6.078,-6.757,-7.255,-6.577,-1.177,0.18,1.191
left,de,2.5,-6.078,-6.757,-6.078,-6.937,0.0,-0.18,0.18
right,de,2.5,-6.078,-6.757,-7.255,-6.577,-1.177,0.18,1.191
left,de,4.0,-6.078,-6.757,-5.686,-7.117,0.392,-0.36,0.532
right,de,4.0,-6.078,-6.757,-7.255,-6.577,-1.177,0.18,1.191
